"","Subject","Simulation","Artefact","PSNR"
"1","510",1,"Noise",20.8130590619636
"2","510",1,"Nonlinearities",35.7560764586654
"3","510",1,"NoiseAndNonlinearities",16.445663420496
"4","510",2,"Noise",18.7022707087435
"5","510",2,"Nonlinearities",31.3192612708174
"6","510",2,"NoiseAndNonlinearities",22.0345780077554
"7","510",3,"Noise",16.0175054571225
"8","510",3,"Nonlinearities",28.7636576307169
"9","510",3,"NoiseAndNonlinearities",16.1323236951485
"10","510",4,"Noise",33.0274602068262
"11","510",4,"Nonlinearities",25.6786903267529
"12","510",4,"NoiseAndNonlinearities",16.7518567961668
"13","510",5,"Noise",15.2774225238782
"14","510",5,"Nonlinearities",25.0579849862484
"15","510",5,"NoiseAndNonlinearities",24.7968106551974
"16","510",6,"Noise",25.5258930403141
"17","510",6,"Nonlinearities",33.4002124384089
"18","510",6,"NoiseAndNonlinearities",19.92111180651
"19","510",7,"Noise",21.5616410197379
"20","510",7,"Nonlinearities",27.6441473726845
"21","510",7,"NoiseAndNonlinearities",15.6565344479326
"22","510",8,"Noise",22.5107207354248
"23","510",8,"Nonlinearities",30.9621240617311
"24","510",8,"NoiseAndNonlinearities",21.9600511963592
"25","510",9,"Noise",16.9631068636513
"26","510",9,"Nonlinearities",35.5785731132945
"27","510",9,"NoiseAndNonlinearities",18.1406633147072
"28","510",10,"Noise",24.0362729871111
"29","510",10,"Nonlinearities",27.089191964665
"30","510",10,"NoiseAndNonlinearities",23.3231677056576
"31","561",1,"Noise",18.5052489271541
"32","561",1,"Nonlinearities",33.8218024972417
"33","561",1,"NoiseAndNonlinearities",21.1899710979344
"34","561",2,"Noise",15.7309564756082
"35","561",2,"Nonlinearities",34.1716246206331
"36","561",2,"NoiseAndNonlinearities",20.6689607140393
"37","561",3,"Noise",29.6714689138851
"38","561",3,"Nonlinearities",37.7382004879761
"39","561",3,"NoiseAndNonlinearities",25.0282773461882
"40","561",4,"Noise",19.3390905268004
"41","561",4,"Nonlinearities",26.3393318445454
"42","561",4,"NoiseAndNonlinearities",23.9412230594748
"43","561",5,"Noise",25.2235908000826
"44","561",5,"Nonlinearities",35.1769996151526
"45","561",5,"NoiseAndNonlinearities",18.9103590992763
"46","561",6,"Noise",16.247662808558
"47","561",6,"Nonlinearities",31.1286857592723
"48","561",6,"NoiseAndNonlinearities",29.0302445458315
"49","561",7,"Noise",39.6505698294036
"50","561",7,"Nonlinearities",32.0212199514698
"51","561",7,"NoiseAndNonlinearities",15.6367308846937
"52","561",8,"Noise",29.3889982476305
"53","561",8,"Nonlinearities",31.4669620937054
"54","561",8,"NoiseAndNonlinearities",17.4233939174815
"55","561",9,"Noise",19.4959587890982
"56","561",9,"Nonlinearities",30.0816269683053
"57","561",9,"NoiseAndNonlinearities",20.6535396052018
"58","561",10,"Noise",44.9365380372608
"59","561",10,"Nonlinearities",26.2873732977211
"60","561",10,"NoiseAndNonlinearities",23.6634996132198
"61","563",1,"Noise",22.1415765864672
"62","563",1,"Nonlinearities",37.6652744654026
"63","563",1,"NoiseAndNonlinearities",17.2769076318561
"64","563",2,"Noise",23.2434389788734
"65","563",2,"Nonlinearities",34.9480550926486
"66","563",2,"NoiseAndNonlinearities",24.6100315672751
"67","563",3,"Noise",15.9813183311063
"68","563",3,"Nonlinearities",25.9706982740637
"69","563",3,"NoiseAndNonlinearities",17.7265221027458
"70","563",4,"Noise",16.241634864541
"71","563",4,"Nonlinearities",22.0039440072774
"72","563",4,"NoiseAndNonlinearities",36.1711566866958
"73","563",5,"Noise",22.592199310433
"74","563",5,"Nonlinearities",28.6637415613263
