"","Subject","Simulation","Artefact","PSNR"
"1","002010_XeVent_Noise_1.nii.gz",1,"Noise",25.4008931385838
"2","002010_XeVent_Noise_1.nii.gz",1,"Nonlinearities",26.8048767955012
"3","002010_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",16.0900857029543
"4","002010_XeVent_Noise_1.nii.gz",2,"Noise",26.7115389677245
"5","002010_XeVent_Noise_1.nii.gz",2,"Nonlinearities",29.6668153190613
"6","002010_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",16.9864798760138
"7","002010_XeVent_Noise_1.nii.gz",3,"Noise",26.4219469277154
"8","002010_XeVent_Noise_1.nii.gz",3,"Nonlinearities",32.8683677849896
"9","002010_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",25.4800242000801
"10","002010_XeVent_Noise_1.nii.gz",4,"Noise",15.7621924944849
"11","002010_XeVent_Noise_1.nii.gz",4,"Nonlinearities",24.9140463683972
"12","002010_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",16.758029600506
"13","002010_XeVent_Noise_1.nii.gz",5,"Noise",17.2659007893923
"14","002010_XeVent_Noise_1.nii.gz",5,"Nonlinearities",29.7569715842561
"15","002010_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",22.5509715859058
"16","002010_XeVent_Noise_1.nii.gz",6,"Noise",16.935098321972
"17","002010_XeVent_Noise_1.nii.gz",6,"Nonlinearities",34.4772040071824
"18","002010_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",25.9089589584042
"19","002010_XeVent_Noise_1.nii.gz",7,"Noise",16.4487063251567
"20","002010_XeVent_Noise_1.nii.gz",7,"Nonlinearities",25.6211043957735
"21","002010_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",27.3852497177195
"22","002010_XeVent_Noise_1.nii.gz",8,"Noise",16.1930307621066
"23","002010_XeVent_Noise_1.nii.gz",8,"Nonlinearities",36.4874402415755
"24","002010_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",21.0227443305115
"25","002010_XeVent_Noise_1.nii.gz",9,"Noise",22.4438609204126
"26","002010_XeVent_Noise_1.nii.gz",9,"Nonlinearities",27.9876022267896
"27","002010_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",18.3329182366022
"28","002010_XeVent_Noise_1.nii.gz",10,"Noise",20.6682262388279
"29","002010_XeVent_Noise_1.nii.gz",10,"Nonlinearities",24.2239888856028
"30","002010_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",18.0279603842369
"31","002012_XeVent_Noise_1.nii.gz",1,"Noise",17.4617882853069
"32","002012_XeVent_Noise_1.nii.gz",1,"Nonlinearities",25.1832021639654
"33","002012_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",19.5768484916542
"34","002012_XeVent_Noise_1.nii.gz",2,"Noise",15.9217350879757
"35","002012_XeVent_Noise_1.nii.gz",2,"Nonlinearities",27.9822202860267
"36","002012_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",19.2734607781729
"37","002012_XeVent_Noise_1.nii.gz",3,"Noise",40.944554074036
"38","002012_XeVent_Noise_1.nii.gz",3,"Nonlinearities",27.9316802506912
"39","002012_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",26.0009399403908
"40","002012_XeVent_Noise_1.nii.gz",4,"Noise",19.762969807172
"41","002012_XeVent_Noise_1.nii.gz",4,"Nonlinearities",21.8556326952553
"42","002012_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",17.5188226958904
"43","002012_XeVent_Noise_1.nii.gz",5,"Noise",15.6431307690589
"44","002012_XeVent_Noise_1.nii.gz",5,"Nonlinearities",21.7596532316281
"45","002012_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",27.301333997875
"46","002012_XeVent_Noise_1.nii.gz",6,"Noise",20.6139098365043
"47","002012_XeVent_Noise_1.nii.gz",6,"Nonlinearities",24.3757584941933
"48","002012_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",29.0113245663253
"49","002012_XeVent_Noise_1.nii.gz",7,"Noise",17.2955632368657
"50","002012_XeVent_Noise_1.nii.gz",7,"Nonlinearities",22.1518037907759
"51","002012_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",15.9441618828994
"52","002012_XeVent_Noise_1.nii.gz",8,"Noise",18.7043042167598
"53","002012_XeVent_Noise_1.nii.gz",8,"Nonlinearities",23.3344508944672
"54","002012_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",21.5457220352283
"55","002012_XeVent_Noise_1.nii.gz",9,"Noise",21.2229446572534
"56","002012_XeVent_Noise_1.nii.gz",9,"Nonlinearities",23.7780343357288
"57","002012_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",35.0005160523418
"58","002012_XeVent_Noise_1.nii.gz",10,"Noise",16.8849775010546
"59","002012_XeVent_Noise_1.nii.gz",10,"Nonlinearities",34.9630292721733
"60","002012_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",15.1603990731488
"61","18_XeVent_Noise_1.nii.gz",1,"Noise",24.1968315350025
"62","18_XeVent_Noise_1.nii.gz",1,"Nonlinearities",27.3426951311105
"63","18_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",18.2990570201395
"64","18_XeVent_Noise_1.nii.gz",2,"Noise",22.031952349778
"65","18_XeVent_Noise_1.nii.gz",2,"Nonlinearities",25.5823874871769
