Segmentation,Cluster,Sensitivity
LinearBinning,Cluster0,0.999999999999934
LinearBinning,Cluster1,0.998774312313889
LinearBinning,Cluster2,0.729748357621743
LinearBinning,Cluster3,0.95894703605027
KMeans,Cluster0,0.999999999999934
KMeans,Cluster1,0.460342862007403
KMeans,Cluster2,0.229135583762256
KMeans,Cluster3,0.999999999998425
Atropos,Cluster0,0.999999999999934
Atropos,Cluster1,0.979451263538366
Atropos,Cluster2,0.697281923614249
Atropos,Cluster3,0.999876501495171
ElBicho,Cluster0,0.999978127007941
ElBicho,Cluster1,0.815413520833926
ElBicho,Cluster2,0.861454181163104
ElBicho,Cluster3,0.873861599034513
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.982620057327815
LinearBinning,Cluster2,0.703403510476387
LinearBinning,Cluster3,0.986570280103311
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.40253075180804
KMeans,Cluster2,0.229227501723223
KMeans,Cluster3,0.999999999998198
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.983692509646807
Atropos,Cluster2,0.657677188574186
Atropos,Cluster3,0.997961455252634
ElBicho,Cluster0,0.999999999999936
ElBicho,Cluster1,0.661295953358718
ElBicho,Cluster2,0.791374735179469
ElBicho,Cluster3,0.904713559508102
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.952040352913292
LinearBinning,Cluster2,0.785431315157403
LinearBinning,Cluster3,0.964686616116645
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.343956368396308
KMeans,Cluster2,0.161231955602525
KMeans,Cluster3,0.999999999998422
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.991193902615916
Atropos,Cluster2,0.657569665677764
Atropos,Cluster3,0.999805404046688
ElBicho,Cluster0,0.999999999999935
ElBicho,Cluster1,0.650775707849407
ElBicho,Cluster2,0.883920251076263
ElBicho,Cluster3,0.876871038866689
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.999999999995113
LinearBinning,Cluster2,0.622263879892142
LinearBinning,Cluster3,0.952489292598497
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.54586428605808
KMeans,Cluster2,0.345850286916896
KMeans,Cluster3,0.999999999998402
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.983606828750277
Atropos,Cluster2,0.57488277537796
Atropos,Cluster3,0.999999999998346
ElBicho,Cluster0,0.999999999999935
ElBicho,Cluster1,0.822279068658472
ElBicho,Cluster2,0.753273788261535
ElBicho,Cluster3,0.871008735453348
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.999635218792292
LinearBinning,Cluster2,0.676620638241266
LinearBinning,Cluster3,0.9513257875108
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.522615368915425
KMeans,Cluster2,0.267466368940817
KMeans,Cluster3,0.999999999998514
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.982511475825613
Atropos,Cluster2,0.614977708659006
Atropos,Cluster3,0.999884768375182
ElBicho,Cluster0,0.999991258994653
ElBicho,Cluster1,0.792951020597367
ElBicho,Cluster2,0.812425187284679
ElBicho,Cluster3,0.872038820761726
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.997409207369833
LinearBinning,Cluster2,0.761824313447308
LinearBinning,Cluster3,0.950822856754297
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.421509865171444
KMeans,Cluster2,0.197724200185316
KMeans,Cluster3,0.999999999998303
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.996320264779666
Atropos,Cluster2,0.651709371026192
Atropos,Cluster3,0.999999999998221
ElBicho,Cluster0,0.999991273915008
ElBicho,Cluster1,0.742607809176173
ElBicho,Cluster2,0.896506895027885
ElBicho,Cluster3,0.864495696991999
LinearBinning,Cluster0,0.999999999999931
LinearBinning,Cluster1,0.516820942542057
LinearBinning,Cluster2,0.59374422209997
LinearBinning,Cluster3,0.993418773560786
KMeans,Cluster0,0.999999999999931
KMeans,Cluster1,0.197060335615533
KMeans,Cluster2,0.129815918760326
KMeans,Cluster3,0.999999999999403
Atropos,Cluster0,0.999999999999931
Atropos,Cluster1,0.999999999986342
Atropos,Cluster2,0.469092158677382
Atropos,Cluster3,0.987277968131424
ElBicho,Cluster0,0.999999999999931
ElBicho,Cluster1,0.276904301723834
ElBicho,Cluster2,0.821377142599512
ElBicho,Cluster3,0.914910831694232
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.894644007941585
LinearBinning,Cluster2,0.719650951337663
LinearBinning,Cluster3,0.959795505305966
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.358579143411674
KMeans,Cluster2,0.18817441396103
KMeans,Cluster3,0.999999999998843
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.999999999990846
Atropos,Cluster2,0.462722141216322
Atropos,Cluster3,0.999999999998822
ElBicho,Cluster0,0.999999999999935
ElBicho,Cluster1,0.687240708370332
ElBicho,Cluster2,0.842318176574012
ElBicho,Cluster3,0.876603617081207
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.99936036695326
LinearBinning,Cluster2,0.632236664957576
LinearBinning,Cluster3,0.961760329834243
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.531753233155773
KMeans,Cluster2,0.306313892324365
KMeans,Cluster3,0.999999999998458
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.986814706354101
Atropos,Cluster2,0.592492183455839
Atropos,Cluster3,0.999972180094568
ElBicho,Cluster0,0.999993313050592
ElBicho,Cluster1,0.791409343211373
ElBicho,Cluster2,0.807669802581375
ElBicho,Cluster3,0.867520771139864
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.643848113241574
LinearBinning,Cluster2,0.631082634152006
LinearBinning,Cluster3,0.999999999998625
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.27450973340591
KMeans,Cluster2,0.136006856810418
KMeans,Cluster3,0.999999999998633
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.99999999995826
Atropos,Cluster2,0.696319350684855
Atropos,Cluster3,0.98180760439382
ElBicho,Cluster0,0.999999999999936
ElBicho,Cluster1,0.408205164725578
ElBicho,Cluster2,0.724175526876033
ElBicho,Cluster3,0.931474230837354
LinearBinning,Cluster0,0.999999999999934
LinearBinning,Cluster1,0.994208014237031
LinearBinning,Cluster2,0.744204163328051
LinearBinning,Cluster3,0.991712414626863
KMeans,Cluster0,0.999999999999934
KMeans,Cluster1,0.452493162412024
KMeans,Cluster2,0.164038777613516
KMeans,Cluster3,0.999999999998676
Atropos,Cluster0,0.999999999999934
Atropos,Cluster1,0.977778950906841
Atropos,Cluster2,0.772617255076629
Atropos,Cluster3,0.994071836585445
ElBicho,Cluster0,0.999999999999934
ElBicho,Cluster1,0.815615346652931
ElBicho,Cluster2,0.889641273766249
ElBicho,Cluster3,0.89001877213903
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.986187051684239
LinearBinning,Cluster2,0.593091975473338
LinearBinning,Cluster3,0.982310469397695
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.547523577945425
KMeans,Cluster2,0.285247685690681
KMeans,Cluster3,0.999999999998726
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.96889415766328
Atropos,Cluster2,0.587828992522391
Atropos,Cluster3,0.986412887765356
ElBicho,Cluster0,0.999987198087264
ElBicho,Cluster1,0.854571871148514
ElBicho,Cluster2,0.773229653494963
ElBicho,Cluster3,0.853387253771721
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.999999999988841
LinearBinning,Cluster2,0.698986394515039
LinearBinning,Cluster3,0.911417249596432
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.416861136114345
KMeans,Cluster2,0.266415501551638
KMeans,Cluster3,0.999999999997713
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.99412896896127
Atropos,Cluster2,0.542096037793254
Atropos,Cluster3,0.9999999999974
ElBicho,Cluster0,0.99999138447217
ElBicho,Cluster1,0.766677515402675
ElBicho,Cluster2,0.827890333770948
ElBicho,Cluster3,0.84355636867819
LinearBinning,Cluster0,0.999999999999932
LinearBinning,Cluster1,0.999999999998863
LinearBinning,Cluster2,0.705295997437131
LinearBinning,Cluster3,0.826818240490549
KMeans,Cluster0,0.999999999999932
KMeans,Cluster1,0.487965250333907
KMeans,Cluster2,0.243463300129997
KMeans,Cluster3,0.999999999998097
Atropos,Cluster0,0.999999999999932
Atropos,Cluster1,0.99323445871502
Atropos,Cluster2,0.668666774078265
Atropos,Cluster3,0.999999999997404
ElBicho,Cluster0,0.99994502801274
ElBicho,Cluster1,0.857103730112294
ElBicho,Cluster2,0.914278404460248
ElBicho,Cluster3,0.781405405176513
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.867432566958765
LinearBinning,Cluster2,0.824386778463124
LinearBinning,Cluster3,0.937248976084921
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.156170701605526
KMeans,Cluster2,0.125020496096089
KMeans,Cluster3,0.999999999998232
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.987496687164185
Atropos,Cluster2,0.644634132943849
Atropos,Cluster3,0.999218290397042
ElBicho,Cluster0,0.999997419874768
ElBicho,Cluster1,0.447060425816493
ElBicho,Cluster2,0.914313916335672
ElBicho,Cluster3,0.866952453237607
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.999999999997091
LinearBinning,Cluster2,0.48403254352998
LinearBinning,Cluster3,0.580879028565081
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.487302361388503
KMeans,Cluster2,0.385915201649885
KMeans,Cluster3,0.999999999997711
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.98688702256053
Atropos,Cluster2,0.345898638985031
Atropos,Cluster3,0.999999999994274
ElBicho,Cluster0,0.999995609336242
ElBicho,Cluster1,0.75062907091814
ElBicho,Cluster2,0.685157608560686
ElBicho,Cluster3,0.685850461429659
LinearBinning,Cluster0,0.999999999999934
LinearBinning,Cluster1,0.478876081785168
LinearBinning,Cluster2,0.632343437195561
LinearBinning,Cluster3,0.999278358587984
KMeans,Cluster0,0.999999999999934
KMeans,Cluster1,0.103431767192031
KMeans,Cluster2,0.112582284873921
KMeans,Cluster3,0.999999999999104
Atropos,Cluster0,0.999999999999934
Atropos,Cluster1,0.999999999986258
Atropos,Cluster2,0.543882767547588
Atropos,Cluster3,0.98356776697083
ElBicho,Cluster0,0.999999999999934
ElBicho,Cluster1,0.231351748094816
ElBicho,Cluster2,0.851150967307423
ElBicho,Cluster3,0.887339434844885
LinearBinning,Cluster0,0.999999999999941
LinearBinning,Cluster1,0.916530855679208
LinearBinning,Cluster2,0.677750516408337
LinearBinning,Cluster3,0.976459313248504
KMeans,Cluster0,0.999999999999941
KMeans,Cluster1,0.344970772155647
KMeans,Cluster2,0.181079186891884
KMeans,Cluster3,0.999999999999051
