Segmentation,Cluster,Specificity
LinearBinning,Cluster0,0.999998790998949
LinearBinning,Cluster1,0.997246205311745
LinearBinning,Cluster2,0.998370014487224
LinearBinning,Cluster3,0.998232937081753
KMeans,Cluster0,0.999998790998949
KMeans,Cluster1,0.999988075981866
KMeans,Cluster2,0.989484716063478
KMeans,Cluster3,0.986956271129886
Atropos,Cluster0,0.999998790998949
Atropos,Cluster1,0.998287285032079
Atropos,Cluster2,0.999594757523316
Atropos,Cluster3,0.996621187688637
ElBicho,Cluster0,0.925489854554948
ElBicho,Cluster1,0.999162868481555
ElBicho,Cluster2,0.995594493177953
ElBicho,Cluster3,0.999994239973995
LinearBinning,Cluster0,0.999999999998723
LinearBinning,Cluster1,0.998455055743489
LinearBinning,Cluster2,0.999450416532622
LinearBinning,Cluster3,0.998985414634038
KMeans,Cluster0,0.999999999998723
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.996803508640759
KMeans,Cluster3,0.993204423423096
Atropos,Cluster0,0.999999999998723
Atropos,Cluster1,0.998448548784387
Atropos,Cluster2,0.999842863051701
Atropos,Cluster3,0.998590523911018
ElBicho,Cluster0,0.914403221659359
ElBicho,Cluster1,0.999357998523552
ElBicho,Cluster2,0.997897033969586
ElBicho,Cluster3,0.999999999999937
LinearBinning,Cluster0,0.999999999999004
LinearBinning,Cluster1,0.998568122136455
LinearBinning,Cluster2,0.998191260431541
LinearBinning,Cluster3,0.998453417937164
KMeans,Cluster0,0.999999999999004
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.994285806695463
KMeans,Cluster3,0.987969574476715
Atropos,Cluster0,0.999999999999004
Atropos,Cluster1,0.998156398556596
Atropos,Cluster2,0.999912905027137
Atropos,Cluster3,0.997076712367796
ElBicho,Cluster0,0.920732522389138
ElBicho,Cluster1,0.99972368793942
ElBicho,Cluster2,0.995633195448202
ElBicho,Cluster3,0.999992323977691
LinearBinning,Cluster0,0.999999999999066
LinearBinning,Cluster1,0.996107777901661
