"NumberOfImages","Mean","StandardDeviation"
"1",0.450286828890116,0.188975706700253
"1",0.556617036446694,0.222091199709251
"1",0.576679435313692,0.145989603546534
"1",0.555179014365553,0.228726170518417
"1",0.623540462570521,0.179036319064264
"1",0.633707203557603,0.219518685842004
"1",0.560871491825524,0.233933672905969
"1",0.722385739850234,0.178514644061752
"1",0.635796625349776,0.176772330825737
"1",0.436389013962082,0.178044270147177
"2",0.470232778410714,0.199969272770018
"2",0.478091002381459,0.1878435129043
"2",0.471127928598346,0.201895720993938
"2",0.489369518640032,0.200324889602231
"2",0.496867123270405,0.212729496530245
"2",0.473998952040393,0.204567734782443
"2",0.530882307829593,0.223622931955466
"2",0.50390839960021,0.203699318017497
"2",0.446341225603051,0.186042027539353
"2",0.567648082829306,0.184448004254624
"2",0.555872410131172,0.225548155803718
"2",0.593948675383436,0.201974940870215
"2",0.602550119921352,0.2237794671066
"2",0.558921818016968,0.228588618903857
"2",0.663658636383151,0.210564068270028
"2",0.607116823373279,0.198098397909591
"2",0.48063907868872,0.203831953139818
"2",0.566620208114466,0.189556729411374
"2",0.600488702654358,0.165282564601133
"2",0.607867629603672,0.19187489752098
"2",0.568904633535854,0.194440643727733
"2",0.663922665918574,0.180921468920056
"2",0.611584300712496,0.167402851887831
"2",0.494703511042485,0.179337991862118
"2",0.592106424166454,0.20622832784186
"2",0.60061223738916,0.226781692951384
"2",0.558161827717985,0.231482941497132
"2",0.660395171307657,0.214405832823213
"2",0.605255823036139,0.201885284211491
"2",0.482097123863211,0.207296051320711
"2",0.629019027721979,0.201923143706008
"2",0.593224310497164,0.209763062853693
"2",0.681954939240573,0.185215465120972
"2",0.630680830947822,0.177821282527075
"2",0.515655864624723,0.200999652197971
"2",0.601293986929503,0.228923700117039
"2",0.682732684688392,0.202752494600458
"2",0.634844458286712,0.197403808400428
"2",0.527542721789002,0.221344662228685
"2",0.658844095082012,0.216988946567943
"2",0.605700377228809,0.205003946031171
"2",0.48714710488476,0.211729415908118
"2",0.679838809360699,0.182856573705893
"2",0.583656736634727,0.22850859557409
"2",0.537348501324985,0.203494612011714
"3",0.490075439038781,0.195511484530371
"3",0.484475589133782,0.207511772709199
"3",0.499570172408619,0.20519772119134
"3",0.505647213470079,0.215171973945323
"3",0.486683950556795,0.209481324305259
"3",0.534479753060843,0.223586402651973
"3",0.511340807444433,0.207204376541191
"3",0.461987776922659,0.195395228964211
"3",0.49058433599467,0.197108277930266
"3",0.505020172474682,0.194623394863469
"3",0.510740751282809,0.204955548157339
"3",0.492621895378654,0.199220221462832
"3",0.538467007889097,0.213411736240144
"3",0.516062368499893,0.197127942449239
"3",0.468241029646935,0.186418098531643
"3",0.499970774738072,0.206585903000177
"3",0.505970160118533,0.21634146785794
"3",0.487233923451805,0.210839263084468
"3",0.53449238718776,0.224553629089153
"3",0.511592132832592,0.208445829745393
"3",0.462752649233588,0.196970837016803
"3",0.519480926092093,0.212721000967512
"3",0.501846273650415,0.208357034690988
"3",0.546646387023146,0.219464382525271
"3",0.52443287446296,0.204713828700234
"3",0.476924285789775,0.19660590884118
"3",0.507695622414269,0.217787575004683
"3",0.550755365032203,0.22650326587259
"3",0.529199906266513,0.213168109838629
"3",0.483062371504688,0.206891133978332
"3",0.535714987169304,0.22558472861457
"3",0.513165947283976,0.209963948742346
"3",0.465067255613749,0.199232831427123
"3",0.554223806359711,0.218488992859451
"3",0.510268158057391,0.21802746907541
"3",0.489062005754335,0.200303831076712
"3",0.563584620969364,0.200040072345982
"3",0.587892655460119,0.18447097684469
"3",0.593999847474205,0.201787235716884
"3",0.565294408025767,0.203030428556463
"3",0.637388872668359,0.197427624194047
"3",0.597781166068013,0.18422816797758
"3",0.510423866535052,0.192989855625806
"3",0.581466324770884,0.211732025736818
"3",0.588212676186929,0.226334325223053
"3",0.557687386222415,0.228638028794716
"3",0.633762028351059,0.221098317098043
"3",0.59257195679365,0.208438956792428
"3",0.501754717217761,0.21383398509274
"3",0.60963842209647,0.209973010314115
"3",0.582594067131809,0.214059835378434
"3",0.651266824924224,0.202203000754235
"3",0.612267846366163,0.192472507647656
"3",0.525951321845192,0.20726454036691
"3",0.589075081427107,0.227944755221822
"3",0.653382558040784,0.214149220307137
"3",0.616373055091473,0.206195438958949
"3",0.534479620360404,0.221867292485816
"3",0.633318166047844,0.222711828075817
"3",0.59325199911418,0.210553088002898
"3",0.504963788711887,0.216567647024576
"3",0.652955087467522,0.198726069552105
"3",0.577700473126124,0.22738497523153
"3",0.541651600692258,0.207944950503533
"3",0.586808826346644,0.18787556593726
"3",0.59285746917681,0.204441127141234
"3",0.564665961522864,0.205734637268432
"3",0.635564689183098,0.200295143220936
"3",0.596650620738349,0.187279538024886
"3",0.510889594727822,0.195632627673323
"3",0.612864107146446,0.188017419308587
"3",0.587710642096556,0.191049718985851
"3",0.652090737351892,0.181303567795256
"3",0.615138520796163,0.171029526598636
"3",0.533402411290848,0.188725606198422
"3",0.593540967134443,0.206742721311615
"3",0.654064008117451,0.194872904382208
"3",0.618902760169624,0.186552987348164
"3",0.541143643288126,0.204485654230181
"3",0.635097906875231,0.202540952692873
"3",0.597188480054895,0.190066634831218
"3",0.513686241320277,0.198821304617315
"3",0.653615593405584,0.179921803690988
"3",0.581866783020334,0.210468735984405
"3",0.547571308766125,0.191006800392557
"3",0.608204790496862,0.212436713248381
"3",0.581609427362554,0.216436971698481
"3",0.649213660046284,0.205022581297119
"3",0.610887084288123,0.195314434617099
"3",0.526129343484636,0.209431485186979
"3",0.588018216356019,0.229814962839313
"3",0.651393538021397,0.216509900462696
"3",0.61499005675673,0.208521893119296
"3",0.534501031831985,0.223546135038847
"3",0.631550153338746,0.22482243563061
"3",0.592193705538999,0.212782384492633
"3",0.505535658392858,0.218551471275876
"3",0.65109523407935,0.201359934596532
"3",0.577028114658158,0.228873945400372
"3",0.541555248224733,0.209855839930731
"3",0.60845723614279,0.214383029352694
"3",0.6663513460079,0.198251000021812
"3",0.631673046426999,0.192493180500907
"3",0.554740457463564,0.214627178248472
"3",0.648404945992401,0.207120092004066
"3",0.611053262626345,0.197738582745065
"3",0.528502502945289,0.211862001896768
"3",0.665179885180786,0.183538616432123
"3",0.594136370945622,0.217315475685855
"3",0.560291542496508,0.200923345280859
"3",0.650570540766345,0.218142948174841
"3",0.615047680841129,0.21037286283186
"3",0.536551556929587,0.225301680704776
"3",0.666392287920681,0.195384941209892
"3",0.598372977383214,0.227048765288604
"3",0.566034702323288,0.212998994659599
"3",0.650328502034645,0.20336259434758
"3",0.57795233969045,0.23008869907126
"3",0.543315799958785,0.211876562781917
"3",0.600977412786219,0.214133880760668
"4",0.499242979451114,0.201795034763232
"4",0.511623397705331,0.199097343942933
"4",0.516456299690288,0.207719850717667
"4",0.500895911713072,0.203457809354277
"4",0.540634167915363,0.214546232037849
"4",0.520940745343736,0.200728367231809
"4",0.478928209614209,0.193245460208315
"4",0.507359718021727,0.209542861047186
"4",0.512398209400074,0.217732257238427
"4",0.496378998058756,0.213648418271158
"4",0.537181498128124,0.224371235041305
"4",0.517106096719019,0.210681096666249
"4",0.474309720486444,0.202594245151345
"4",0.524084549449257,0.21425357417209
"4",0.508891099600123,0.210971078222886
"4",0.54783122983633,0.219800824232252
"4",0.528285749342027,0.207133632737843
"4",0.486514862363171,0.201519002815605
"4",0.513820525214192,0.218929409593163
"4",0.551434754267635,0.226003103508693
"4",0.532400608635196,0.214408754548568
"4",0.49169334697631,0.210069002718389
"4",0.538222506095574,0.225269860531573
"4",0.518417552614008,0.211939348689343
"4",0.476191074154161,0.204348016541756
"4",0.55449227345867,0.218896353655213
"4",0.515493142098835,0.218979547975327
"4",0.49673109311389,0.20402258555903
"4",0.511849066261875,0.200347825795736
"4",0.516631962564808,0.208806210318917
"4",0.501225380217513,0.204667957885235
"4",0.540591156819425,0.215489463326003
"4",0.521070901435969,0.201873074148444
"4",0.47943109140606,0.194575392865223
"4",0.527910236699276,0.205264379188256
"4",0.513277263928755,0.201894467371052
"4",0.550893769466199,0.210894413095788
"4",0.53187509603367,0.198260861835642
"4",0.491206788104217,0.193369191259593
"4",0.51796008053249,0.210113339555079
"4",0.55433352373097,0.217356851051314
"4",0.535799396995885,0.205807069868968
"4",0.496140004998299,0.202125860593029
"4",0.541562094388252,0.216499608438984
"4",0.522297653607671,0.20324169943102
"4",0.481197557623667,0.196410948664888
"4",0.557226012574984,0.210387286674201
"4",0.519189789612,0.211011597131255
"4",0.500913112688675,0.196151185781169
"4",0.524190112688042,0.215238746124828
"4",0.509143618684514,0.212052482760934
"4",0.547725783221846,0.220674650214221
"4",0.528350889627419,0.208179455429569
"4",0.486948474481898,0.202700288439401
"4",0.514021201849234,0.219868003917555
"4",0.551301288653492,0.22678241045204
"4",0.532428957219053,0.215332684616256
"4",0.492071721091073,0.211093139761072
"4",0.538200481967802,0.22608059381409
"4",0.518570653206085,0.212934448079383
"4",0.476720688093393,0.205523374054829
"4",0.554337930397139,0.219736371043332
"4",0.515660184415753,0.21982371749613
"4",0.497055357352117,0.205085369142529
"4",0.525412579242051,0.216374375199292
"4",0.5610847738859,0.221848385313114
"4",0.542682245052142,0.211228330453898
"4",0.503238397733417,0.209014193848444
"4",0.54860235182881,0.221563036887816
"4",0.529479542117185,0.209382066413791
"4",0.488610757587108,0.204291879849186
"4",0.563753764776219,0.21482711949933
"4",0.525916024864765,0.216620806899999
"4",0.507766113645517,0.202890903690607
"4",0.552112761120357,0.227539457072455
"4",0.533479705368129,0.216360796983885
"4",0.493629670040986,0.212445374160567
"4",0.56670457223054,0.220554100842807
"4",0.529741845212799,0.222852229791615
"4",0.512033280724083,0.210231686803194
"4",0.555087701330028,0.220567526815222
"4",0.516876093649139,0.220827975824
"4",0.498503644116428,0.206470578015137
"4",0.533217192791993,0.216592114804938
"4",0.580183249439116,0.196292790095951
"4",0.585259165435509,0.208785646820691
"4",0.562868298204286,0.209523367266905
"4",0.620139186552317,0.207113779020925
"4",0.588732764552665,0.195309352712022
"4",0.520012615030014,0.202015803977425
"4",0.601517596374687,0.196667750958142
"4",0.581045500359556,0.19852220408633
"4",0.634096068722037,0.193301983075327
"4",0.603978359006587,0.18332219657692
"4",0.537866775664504,0.195796735267468
"4",0.585971169018948,0.210507396511028
"4",0.636405305556828,0.203569053292856
"4",0.607487743871148,0.195047593850619
"4",0.544002377739063,0.207935714874813
"4",0.620081234017875,0.208718989018155
"4",0.589332446719497,0.197325754811916
"4",0.522070233166295,0.204283205191562
"4",0.636905894758383,0.19139812663342
"4",0.577484002778098,0.212745232710291
"4",0.549158489039751,0.196844814947584
"4",0.597478971427659,0.215497299724048
"4",0.576077168795464,0.217946430357576
"4",0.631262081456197,0.211629158348618
"4",0.600238070924408,0.202001662782385
"4",0.532163581597738,0.212343145209553
"4",0.581379857714035,0.228562002386034
"4",0.633746979437313,0.220664259046128
"4",0.603994824536673,0.212372853020646
"4",0.538701491521008,0.223437357146597
"4",0.616795809398871,0.226256353054672
"4",0.585102247566879,0.215138348617712
"4",0.515807331069264,0.220219914210733
"4",0.634395278798669,0.208316572206465
"4",0.573392104432534,0.227812855553637
"4",0.54426824770077,0.21218921031365
"4",0.597916181940061,0.216976422686219
"4",0.646609601977673,0.207080329151403
"4",0.618018082171362,0.200309366533324
"4",0.555084606465673,0.21601493922933
"4",0.630975933407774,0.213106052395119
"4",0.600593818518001,0.203775024644685
"4",0.533950312108442,0.214169125533709
"4",0.646606457727959,0.195019664616395
"4",0.587668928028811,0.218604474412643
"4",0.559651315626988,0.204772159464522
"4",0.633422843489945,0.221855685954761
"4",0.604261532509642,0.213788327004655
"4",0.540285786147874,0.224841736302303
"4",0.648270833964363,0.204147189848083
"4",0.591429797468013,0.226764120294593
"4",0.564452451588552,0.214580901398749
"4",0.634075081267143,0.209753850497667
"4",0.574223594632485,0.228853145932745
"4",0.545665856626457,0.213775431125636
"4",0.593936666777802,0.216024101601103
"4",0.600551269933757,0.198820660312942
"4",0.580338782436235,0.200670363175413
"4",0.632744896989287,0.1955824431542
"4",0.603029918561001,0.185708427904896
"4",0.537836639870646,0.197721270308757
"4",0.585221311083408,0.212291903655698
"4",0.635075013372804,0.205537565420123
"4",0.60652889470409,0.197072396456718
"4",0.54389078636145,0.209523494552279
"4",0.618905182411348,0.210575655872095
"4",0.588576202072787,0.199327307863026
"4",0.522264319636719,0.206045622358501
"4",0.635634158417415,0.193548620138729
"4",0.576955127137469,0.214194112207761
"4",0.548986449845498,0.198586713930409
"4",0.600904930445542,0.200711243013433
"4",0.647401773660881,0.191941460508855
"4",0.619925964955952,0.184929670224935
"4",0.559462975674525,0.202034043819483
"4",0.632441043879799,0.197444210246927
"4",0.603315448468863,0.187888713333005
"4",0.539435760266347,0.199856891292521
"4",0.647361323144826,0.180150847763998
"4",0.590596053707329,0.204987072585502
"4",0.56364955743095,0.191072322894817
"4",0.634738247797038,0.2070645374389
"4",0.606736478973709,0.198837086536756
"4",0.545311974693746,0.211202309597318
"4",0.648941441107347,0.190147259812078
"4",0.594123531200258,0.213779595226041
"4",0.568140750086577,0.201561038814915
"4",0.63530340214333,0.195314666790733
"4",0.577690741466099,0.215501230249039
